,Brier_Score,ECE,Mean_Predicted,True_Prevalence
Rural,0.1442657858133316,0.008220019302550494,0.5116698145866394,0.5127047974099872
Transitional,0.0020414364989846945,0.0007169238479178594,0.22499097883701324,0.22544883743745708
Urban,0.14358766376972198,0.00882544484945926,0.26333922147750854,0.26184636515255566
