proposed_acc,proposed_f1,proposed_kappa,proposed_js,proposed_maxdiff,knn_acc,knn_f1,true_effect,imp_effect,bias,bias_pct
0.7779963928512871,0.7670975485482904,0.627855471190347,0.022681630812808207,0.02639066025703915,0.750286932283981,0.7428620781537577,0.07987598043594862,0.09909031328604712,0.019214332850098492,24.055207516990897
0.7891416237755271,0.7783432273372455,0.6467927105077739,0.019305055139955934,0.022515451780633744,0.7675576955005811,0.7623807644180687,0.08238405715551772,0.1004150361416026,0.018030978986084883,21.886490673853938
0.7860778197340338,0.7765847056752561,0.6429918594885742,0.01853248134366309,0.021779652702835217,0.7535708422262354,0.7473158057255077,0.08105979263699564,0.1002105473556078,0.019150754718612162,23.6254671960162
0.7854034147974557,0.7731545020101483,0.641450040950156,0.01959374275075455,0.022907877955459677,0.7656511550050218,0.7580817558575964,0.0803309246514688,0.09687084013517827,0.016539915483709478,20.58972376512668
0.7868333333333334,0.7729482896112493,0.641167940838441,0.019741791350037133,0.023202197586579043,0.767,0.7606105036612574,0.08113165075384948,0.09669717459812982,0.015565523844280338,19.185513544529716
0.7940937854940776,0.7770437963292777,0.6510741202487866,0.018313233363917943,0.021191013440596485,0.7593704364757423,0.7475241989719449,0.08476376828489268,0.10144316210783341,0.01667939382294073,19.677503915211698
0.7777777777777778,0.7700497663717242,0.6296228755418594,0.020903517417319214,0.024526635926616303,0.7545409916543937,0.7495796069664777,0.08448511101090489,0.1026106821128775,0.018125571101972604,21.454160247990973
0.7851947632131889,0.7705578679389848,0.6422974268238724,0.019677009751112584,0.022956931227312904,0.7541619524810086,0.7438482434390474,0.07717163632275464,0.09581175149390359,0.01864011517114894,24.15410124672031
0.7809677419354839,0.7716336690929494,0.6363412393854756,0.022714198003520675,0.026390660257039178,0.7485483870967742,0.7413752207449789,0.08584556879786687,0.10466570275589254,0.018820133958025675,21.923244521030334
0.791502624671916,0.7800724031390084,0.6520338864761552,0.022430948108922943,0.026194447169626156,0.7673884514435696,0.7595453741342025,0.08176566412994357,0.09958057471767903,0.01781491058773546,21.78776479993321
0.7860426929392447,0.7700040993016914,0.6424236014563386,0.02228446767079142,0.025851074266653562,0.7602627257799671,0.7487111402986901,0.08121620489492798,0.10105764008931417,0.019841435194386192,24.43038950176962
0.7801090368412358,0.7683603179848832,0.6308532630193462,0.022210578223982654,0.025802020994800334,0.7535106558731207,0.7415901320392263,0.08185330598918444,0.09959402415741953,0.01774071816823508,21.673795522173805
0.7948295735221472,0.7778160718737835,0.6519978364603343,0.019349133673613107,0.02241734523692729,0.7600856248970854,0.7483455038173855,0.08485556763378957,0.10094434381436707,0.016088776180577496,18.960189212346897
0.7783018867924528,0.7652575282497022,0.6264438998330265,0.023639647392922316,0.027616992053369982,0.7513012361743656,0.7481655375158546,0.08322899383653642,0.10126951643093035,0.018040522594393926,21.675766776450413
0.7882627542514171,0.7723225336893975,0.6498747379217641,0.02252017002986725,0.02614539389777304,0.7697565855285095,0.7617514774343284,0.0796631368645136,0.09514266250483483,0.015479525640321234,19.43122785466998
0.7828250401284109,0.7737764432744179,0.636413617139703,0.021063175047447702,0.024575689198469558,0.7451043338683788,0.7415747244389742,0.08114058418380754,0.09752779354375848,0.016387209359950944,20.196070221566366
0.7859688917692806,0.7737272073887328,0.6391943121544323,0.0207396767233844,0.02418326302364371,0.7642579390797148,0.7576864569864443,0.08064783255418956,0.09789547381503419,0.01724764126084463,21.38636676845029
0.7786449684490203,0.7642843500907813,0.6276066821543584,0.021540340573453592,0.025164328460708263,0.7640318830953172,0.7561467735941619,0.08120951817278227,0.09840627820464973,0.01719676003186746,21.17579369856553
0.7775747508305648,0.7664100005647224,0.6260150667011355,0.020679620093024965,0.02433042283920339,0.7524916943521595,0.7462605055313207,0.08448996822183122,0.1016987030882461,0.017208734866414888,20.36778475431874
