Test_Year,N_Train,N_Test,Imputation_Accuracy,Imputation_F1,Imputation_Kappa
1991,88480,13446,0.7817470026914607,0.7212801536185203,0.5952463930437879
1993,89294,12632,0.7948918425853532,0.7515285677711954,0.6309001276813262
1997,89183,12743,0.7925600619994834,0.776416563260126,0.6494610390159599
2000,88396,13530,0.7883353584447145,0.7803239781054226,0.6509474286167276
2004,90143,11783,0.766881479405996,0.7426228958519099,0.6175264976887297
2006,90598,11328,0.7617938264414676,0.7591932834008953,0.6014665514249248
2009,90360,11566,0.7799713876967096,0.769772807285593,0.6358558161616228
2011,87028,14898,0.7398409893992933,0.7695591166542429,0.588858034735511
