outcome,true_coef,true_se,true_pval,imp_coef,imp_se,imp_pval,coef_rel_change_pct,se_rel_change_pct,sign_consistent,sig_consistent,n,covariates
FatER,0.06973990987676423,0.001974526554946533,4.554276345458323e-263,0.08690796366599499,0.0020071270126585153,0.0,24.617258352596124,1.6510518752109185,1,1,15790,Year + Province dummies
CarbER,-0.08080663154924661,0.001986284862380235,0.0,-0.10177852915929265,0.0020034327553036402,0.0,25.9531887519219,0.8633148874153096,1,1,15790,Year + Province dummies
ProtER,0.010455905387861862,0.00043860824572226496,1.99392076240296e-123,0.014224804927735025,0.00044800256344556237,1.5979173994505496e-214,36.0456545852876,2.141847038882635,1,1,15790,Year + Province dummies
Fat/Carb,0.09688109058966483,0.0029399421939874182,2.257747485106012e-230,0.12510504482637616,0.002984205985696244,0.0,29.132572790961362,1.5056007495436903,1,1,15790,Year + Province dummies
