Scenario,Method,Actual_Rate,Accuracy,Macro_F1,Kappa,JS_Div,Max_Diff
MCAR,Proposed,0.2992249583047189,0.7855737704918033,0.7703082744823774,0.6382937518224032,0.022953286610324097,0.026734033160011772
MCAR,KNN,0.2992249583047189,0.7208196721311475,0.7067705339865243,0.5389826242119262,0.014206035442371225,0.01746296477975079
MCAR,Majority,0.2992249583047189,0.5163934426229508,0.22702702702702704,0.0,0.10404782686242713,0.1447071519670362
MAR (FatER),Proposed,0.29996075738251743,0.7085854456255111,0.7708664108358606,0.5193695492343715,0.005223703673032639,0.006229765525360587
MAR (FatER),KNN,0.29996075738251743,0.6385936222403925,0.693301890062894,0.40564682029635957,0.008215024896784964,0.01010497400176591
MAR (FatER),Majority,0.29996075738251743,0.46017988552739164,0.21010191510807483,0.0,0.12545459906391956,0.1619248503875209
Spatial,Proposed,0.21264593348376337,0.7790080738177624,0.7787614648717204,0.6356414472428787,0.011179796644350903,0.013097223584813078
Spatial,KNN,0.21264593348376337,0.720876585928489,0.7173563732673807,0.5462610294680553,0.007721902726135608,0.009516334739527121
Spatial,Majority,0.21264593348376337,0.5056516724336794,0.2238905061028548,0.0,0.07507369469944258,0.10512116158147755
